"","date","RetNom","RetReal","RetHistAve","PriceDev","PriceDev2","TriggerPercent","HeadInf","RiceInf","Contri","IppReal","IppNom","WsaleReal","IPPGap","WsaleNom","RetGap","SURCurrent","TotalUse","SURindex","CPSI","risk_categ"
"22",2017-10-01,37.49,39.4893030140441,39.6733558920568,-0.00463920618446076,0.303546592489569,0.0266808964781353,3.1,0.6,0.00053213558,32.7058644597021,31.05,36.9402469114897,0.129468599033817,35.07,-0.0690048474479613,1935.868,13966,0.845943975807735,0.209917752810795,"Moderate Risk"
"23",2017-11-01,37.46,39.4546363365183,39.4784542587965,-0.000603314459124015,0.312321305472997,-0.0800213390237427,3,0.8,0.0007095141,32.4084132423168,30.77,36.9268432978755,0.139421514462139,35.06,-0.0684540787221905,2958.73,13966,0.764544803437848,0.19474664503626,"Moderate Risk"
"24",2017-12-01,37.53,39.4379789477666,39.4634721645785,-0.00064599528155067,0.316037735849057,0.18686599038975,2.9,1.2,0.00106427115,31.9875320871328,30.44,36.6637646031558,0.146189224704336,34.89,-0.0756663800515907,2849.37,13966,0.773247652395353,0.199362704716566,"Moderate Risk"
"25",2018-01-01,40.66,43.0906304495662,39.4443702134872,0.0924405743162873,0.474705166604268,8.33999467092991,3.5,0.1,8.868926e-05,34.2732658330871,32.34,37.6539621227453,0.0986394557823126,35.53,-0.144385026737968,2289.649,14209,0.836055491908922,0.234321847601098,"Moderate Risk"
"26",2018-02-01,41.03,43.0818567479312,39.6210176801387,0.0873485657468935,0.477802693188024,0.909985243482549,3.7,1,0.00088689263,35.3117924070208,33.63,38.3358174481217,0.0856378233719894,36.51,-0.123801698164886,1795.783,14209,0.87141751396248,0.23381849877525,"Moderate Risk"
"27",2018-03-01,41.69,43.1805225629926,39.7319535151678,0.0867958593203379,0.493160339210204,1.60857908847184,4.3,2.5,0.00221723157,34.72878199929,33.53,38.2089104668597,0.100208768267223,36.89,-0.130116562754134,1697.374,14209,0.878463840756122,0.239560452533563,"Moderate Risk"
"28",2018-04-01,42.09,43.2519146382034,39.8593717421439,0.085112804035304,0.494074269159863,0.959462700887517,4.3,3.3,0.00292674568,35.5345974864014,34.58,38.2680280622784,0.0769230769230769,37.24,-0.130236305048335,2182.668,14209,0.843715595016469,0.227782905340637,"Moderate Risk"
"29",2018-05-01,42.42,43.2921922731469,39.9656437266753,0.0832352049480777,0.497079884789217,0.784034212401992,4.6,3.9,0.00345888125,36.6279297662617,35.89,38.5567898180375,0.0526609083310116,37.78,-0.12281630492324,2909.456,14209,0.791675784046971,0.21076941669986,"Moderate Risk"
"30",2018-06-01,42.76,43.3383657284151,40.1548448421519,0.0792811153617336,0.494548611502599,0.801508722300793,5,4.4,0.00390232757,36.578148249206,36.09,38.6761467772154,0.0573566084788029,38.16,-0.120545073375262,2360.984,14209,0.830947730201919,0.218406570997544,"Moderate Risk"
"31",2018-07-01,43.29,43.4485459993311,40.2447821706786,0.079606936746863,0.502922994221207,1.23947614593078,5.8,5.1,0.00452315241,32.7394680168456,32.62,38.9019552523892,0.188228080931944,38.76,-0.11687306501548,1990.822,14209,0.857452241157096,0.249336695252276,"Moderate Risk"
"32",2018-08-01,44.36,43.4682159488778,40.3850249204413,0.076344908403806,0.526463013941924,2.47170247170247,6.6,7.5,0.00665169472,31.8466415276132,32.5,40.1953610911598,0.262153846153846,41.02,-0.0814236957581666,1520.764,14209,0.891109551768581,0.26353673936088,"High Risk"
"33",2018-09-01,46.22,43.4341855450068,40.0722107061392,0.0838979127835478,0.584031662502487,4.19296663660956,6.9,12,0.01064271155,31.1989389988144,33.2,40.4364561782827,0.296084337349398,43.03,-0.0741343248896118,1168.028,14209,0.916366318201346,0.276225120954781,"High Risk"
"34",2018-10-01,46.58,43.5792569589054,39.6733558920568,0.0984514916629633,0.61961057023644,0.778883600173084,6.9,12.6,0.01117484713,31.6506282381272,33.83,38.6674686692816,0.22169671888856,41.33,-0.127026373094604,1589.893,14209,0.886159745095231,0.268901835174272,"High Risk"
"35",2018-11-01,45.23,43.6883721684905,39.4784542587965,0.106638367401527,0.584524630180022,-2.89823958780593,6.1,9,0.00798203366,32.3581796845544,33.5,37.6031025408867,0.162089552238806,38.93,-0.161828923709222,3000.445,14209,0.785160747529715,0.244739924907854,"Moderate Risk"
"36",2018-12-01,44.07,43.5183970498212,39.4634721645785,0.102751346063316,0.545371250169676,-2.5646694671678,5.2,6.4,0.00567611283,31.8265926126753,32.23,37.5441219712663,0.179646292274279,38.02,-0.159126775381378,2718.483,14209,0.805349921237291,0.250510089557253,"High Risk"
"37",2019-01-01,43.44,43.3470782554503,39.4443702134872,0.0989420802218481,0.57553350804942,-1.42954390742002,4.4,6.2,0.0054987343,30.2152285865495,30.28,37.7590571240103,0.249669749009247,37.84,-0.14799154334038,2550.701,15298,0.820486944894081,0.264517810353111,"High Risk"
"38",2019-02-01,43.13,43.3369798338901,39.6210176801387,0.0937876503766366,0.553439682115512,-0.713627992633506,3.8,4.5,0.00399101683,28.757346691049,28.62,37.157466129804,0.292103424178896,36.98,-0.166306111411574,2141.232,15298,0.849304525300866,0.281098545619594,"High Risk"
"39",2019-03-01,42.66,43.2423356522531,39.7319535151678,0.088351611902123,0.527901656769184,-1.08972872710412,3.4,2.2,0.00195116378,29.446550647844,29.05,36.7955176769961,0.249569707401033,36.3,-0.175206611570248,2221.423,15298,0.84366084875783,0.271747988682247,"High Risk"
"40",2019-04-01,42.13,43.0955179926219,39.8593717421439,0.0811890932805735,0.495494154423973,-1.24238162212844,3.2,0.5,0.00044344631,29.9714853361155,29.3,36.1601367451086,0.206484641638225,35.35,-0.191796322489392,2629.03185,15298,0.81497418185657,0.258977537114952,"High Risk"
"41",2019-05-01,41.66,43.0094997935729,39.9656437266753,0.0761618175779807,0.470258085816095,-1.11559458817946,3.2,-1.1,-0.00097558189,30.3007397719532,29.35,36.1337612272014,0.192504258943782,35,-0.190285714285714,2947.42399,15298,0.792566402280245,0.250498754995544,"High Risk"
"42",2019-06-01,41.41,43.0083691467603,40.1548448421519,0.0710630140852372,0.447363377042157,-0.600096015362458,2.7,-2.4,-0.00212854231,28.3641285038727,27.31,36.11207426143,0.27316001464665,34.77,-0.19096922634455,2598.3388,15298,0.817134295165036,0.270891018510295,"High Risk"
"43",2019-07-01,40.97,42.9290962451556,40.2447821706786,0.0666996795533085,0.422378264570174,-1.06254527891813,2.2,-4.2,-0.00372494904,28.8673810494415,27.55,35.9925422522074,0.246823956442831,34.35,-0.192721979621543,2625.2538,15298,0.815240073193047,0.265042127570146,"High Risk"
"44",2019-08-01,40.68,42.8981968427873,40.3850249204413,0.0622302927210503,0.399831276085605,-0.707835001220403,1.4,-7.1,-0.00629693767,29.6638711220744,28.13,35.8750407242435,0.209384998222539,34.02,-0.195767195767196,2133.84,15298,0.849824758955592,0.264700836667275,"High Risk"
"45",2019-09-01,40.16,42.7926840903554,40.0722107061392,0.0678892762908994,0.376345988016008,-1.27826941986235,0.5,-11.8,-0.01046533302,28.9830928115558,27.2,35.3551110105669,0.21985294117647,33.18,-0.21036769138035,1842.373,15298,0.870337602927722,0.275782568959088,"High Risk"
"46",2019-10-01,39.62,42.7494760989123,39.6733558920568,0.0775361735272653,0.377607788595271,-1.34462151394422,0.6,-13.3,-0.01179567197,30.5784995605128,28.34,35.0562967791482,0.146436132674665,32.49,-0.219452139119729,2279.729,15298,0.839557393201492,0.25895550209863,"High Risk"
"47",2019-11-01,39.16,42.5868536330346,39.4784542587965,0.0787366028533259,0.371876730441072,-1.16102978293791,1.2,-11.2,-0.00993319744,30.3197517697539,27.88,34.7459135238034,0.145982783357245,31.95,-0.22566510172144,2962.46,15298,0.791508199028785,0.250365176880159,"High Risk"
"48",2019-12-01,38.87,42.4825461467392,39.4634721645785,0.0765029992690444,0.363026559884168,-0.74055158324821,2.4,-9.6,-0.00851416924,30.5039326706424,27.91,35.0396302909636,0.148692225008957,32.06,-0.212414223331254,3098.013,15298,0.781968259553804,0.245618375280612,"Moderate Risk"
